"","site","latitude","longitude","fire_sev_infield","elevation","flii","Avg_mnth_tot_rain","Avg_mnth_ndvi"
"1","WWFSAR001",-37.695315,149.441374,"VH",134.702484130859,7.17,112.416316105769,8163.31679285647
"2","WWFSAR002",-37.700315,149.43161,"VH",119.942810058594,7.513,112.416316105769,7959.73433084055
"3","WWFSAR003",-37.706188,149.425158,"VH",107.9189453125,7.7,112.416316105769,8269.42451400164
"4","WWFSAR004",-37.712454,149.418018,"H",93.0206756591797,7.825,111.331881009615,8392.89953261053
"5","WWFSAR005",-37.715806,149.407921,"VH",76.7041244506836,7.913,111.331881009615,8210.32698971989
"6","WWFSAR006",-37.712576,149.399099,"H",78.1986236572266,7.913,111.331881009615,8091.80696019458
"7","WWFSAR007",-37.71351,149.388845,"H",69.9666900634766,7.869,111.331881009615,7959.68013596241
"8","WWFSAR008",-37.716437,149.379832,"H",67.0755615234375,7.765,111.331881009615,7810.79248851614
"9","WWFSAR009",-37.72028,149.369608,"H",76.7382736206055,7.568,110.157602163462,7964.62607764757
"10","WWFSAR010",-37.726101,149.361166,"VH",85.7522277832031,7.496,108.252103365385,8054.86000422476
"11","WWFSAR021",-37.592219,149.556902,"VH",113.02906036377,7.303,114.119966947115,7623.33222943388
"12","WWFSAR022",-37.589009,149.562846,"H",120.076919555664,7.279,114.119966947115,8090.29555877712
"13","WWFSAR023",-37.583232,149.566118,"H",149.695358276367,7.214,114.119966947115,8089.80483338246
"14","WWFSAR024",-37.577552,149.567891,"L/M",186.264068603516,7.141,114.119966947115,8139.50275720867
"15","WWFSAR025",-37.571148,149.567136,"VH",194.341156005859,6.45,115.158052884615,7629.51508728244
"16","WWFSAR026",-37.566291,149.56975,"VH",184.326599121094,7.547,115.158052884615,7771.17863842317
"17","WWFSAR027",-37.559977,149.5707,"VH",136.377136230469,7.636,115.158052884615,8087.9513552687
"18","WWFSAR028",-37.554302,149.572788,"VH",108.290237426758,7.683,115.158052884615,8204.18738386435
"19","WWFSAR029",-37.548294,149.571812,"H",104.761795043945,7.731,115.158052884615,7986.63342051857
"20","WWFSAR030",-37.543106,149.57671,"H",99.416748046875,7.657,112.736478365385,7868.97342715644
"21","WWFSAR031",-37.385703,149.440486,"H",205.114547729492,7.026,116.875,8142.22491047288
"22","WWFSAR032",-37.38737,149.425973,"L/M",285.883483886719,7.666,116.875,8223.97078057514
"23","WWFSAR033",-37.388105,149.412009,"L/M",356.337310791016,7.911,121.209435096154,8312.78612922075
"24","WWFSAR034",-37.388761,149.398065,"L/M",394.455078125,7.861,121.209435096154,8478.00011448725
"25","WWFSAR035",-37.382914,149.386828,"L/M",458.76416015625,7.895,121.209435096154,8430.7241747826
"26","WWFSAR036",-37.379284,149.375219,"L/M",440.361724853516,7.954,121.209435096154,8427.09160606392
"27","WWFSAR037",-37.375842,149.362195,"L/M",488.374908447266,7.909,122.030048076923,8424.40970972618
"28","WWFSAR038",-37.370089,149.351758,"L/M",576.819763183594,7.827,122.598106971154,8514.05450497169
"29","WWFSAR039",-37.362852,149.344186,"L/M",524.586181640625,7.825,122.598106971154,8514.28019880811
"30","WWFSAR040",-37.368345,149.332122,"L/M",483.283752441406,7.383,122.598106971154,8250.03926108549
"31","WWFSAR041",-37.721949,148.978106,"L/M",50.6516609191895,0.886,113.366586538462,8160.33755934105
"32","WWFSAR042",-37.723339,148.98832,"L/M",16.7244167327881,4.186,113.366586538462,8157.24576277874
"33","WWFSAR043",-37.721564,148.99628,"L/M",23.9920082092285,6,113.366586538462,8312.42784309387
"34","WWFSAR044",-37.718783,149.006994,"L/M",58.2077026367188,2.466,113.366586538462,8391.8787899204
"35","WWFSAR045",-37.713812,149.015958,"L/M",78.2670288085938,5.768,113.366586538462,7915.46786132418
"36","WWFSAR046",-37.708442,149.024884,"H",74.55029296875,6.066,113.366586538462,8063.92804475324
"37","WWFSAR047",-37.703503,149.03376,"H",62.7592430114746,3.535,112.342172475962,7822.97378959037
"38","WWFSAR048",-37.696182,149.040028,"L/M",61.7173080444336,3.336,112.342172475962,8303.38685680986
"39","WWFSAR049",-37.691764,149.049419,"L/M",52.1969375610352,3.374,112.342172475962,8265.09432899888
"40","WWFSAR050",-37.691136,149.060391,"L/M",65.7761611938477,6.683,112.342172475962,8163.13708832486
"41","WWFSAR051",-37.481241,148.647931,"H",483.951202392578,6.313,109.635667067308,7911.37673063611
"42","WWFSAR052",-37.476439,148.653334,"VH",506.928100585938,7.19,109.635667067308,7873.30124141329
"43","WWFSAR053",-37.4775,148.661484,"VH",447.618347167969,7.336,109.635667067308,8173.2700034618
"44","WWFSAR054",-37.472312,148.677111,"VH",490.115539550781,7.327,111.393629807692,8050.78690679084
"45","WWFSAR055",-37.464153,148.677521,"H",447.492919921875,7.321,111.393629807692,8042.2211541739
"46","WWFSAR056",-37.450183,148.684589,"H",317.224395751953,7.208,111.393629807692,8145.28746534096
"47","WWFSAR057",-37.440908,148.689477,"H",229.015869140625,6.977,111.393629807692,7937.32688859437
"48","WWFSAR058",-37.432928,148.684173,"H",192.597991943359,6.265,111.393629807692,7651.86949214089
"49","WWFSAR059",-37.424567,148.684558,"VH",240.123321533203,6.95,110.066781850962,7849.57848389093
"50","WWFSAR060",-37.417512,148.677138,"VH",205.299591064453,6.924,110.066781850962,7822.70111021458
"51","WWFSAR061",-37.129329,148.875621,"UB",910.499633789062,0.378,107.192608173077,7654.33532559799
"52","WWFSAR062",-37.130596,148.864838,"UB",907.50390625,0.22,115.560697115385,7480.9383466253
"53","WWFSAR063",-37.128853,148.854903,"UB",892.604919433594,2.039,115.560697115385,7703.62518743553
"54","WWFSAR064",-37.121104,148.848559,"UB",885.567626953125,0.492,109.265474759615,7552.4406950708
"55","WWFSAR065",-37.114094,148.842732,"UB",900.24560546875,0,109.265474759615,7580.12157238059
"56","WWFSAR066",-37.106942,148.844172,"UB",941.561828613281,3.94,109.265474759615,7797.65110638588
"57","WWFSAR067",-37.100719,148.842035,"UB",974.619873046875,5.343,109.265474759615,8017.98187053096
"58","WWFSAR068",-37.095088,148.847454,"UB",958.204223632812,5.426,109.265474759615,7905.33819168422
"59","WWFSAR069",-37.087781,148.847265,"UB",967.594970703125,5.816,109.265474759615,7972.38442073045
"60","WWFSAR070",-37.080278,148.849409,"UB",990.609252929688,5.941,109.265474759615,7735.17773363904
"61","WWFSAR071",-37.221955,148.940714,"UB",1067.6103515625,0.992,118.686748798077,8422.64308155004
"62","WWFSAR072",-37.229071,148.938978,"UB",1100.794921875,2.219,126.526141826923,8003.21348147241
"63","WWFSAR073",-37.234806,148.931094,"UB",1096.87573242188,1.146,126.526141826923,8304.96241927989
"64","WWFSAR074",-37.240324,148.923335,"UB",1092.33471679688,2.186,132.562124399038,8484.48042211511
"65","WWFSAR075",-37.24504,148.914214,"UB",1103.34191894531,2.731,132.562124399038,8064.99509755827
"66","WWFSAR076",-37.251773,148.90671,"UB",1091.47631835938,5.579,132.562124399038,7960.28172177377
"67","WWFSAR077",-37.257581,148.900874,"UB",1148.20703125,7.777,132.562124399038,7826.98372632979
"68","WWFSAR078",-37.265428,148.898119,"UB",1219.96447753906,6.537,132.562124399038,7888.17975752277
"69","WWFSAR079",-37.272054,148.892273,"UB",1199.95678710938,6.627,132.562124399038,8238.78432072995
"70","WWFSAR080",-37.275045,148.882789,"UB",1195.30200195312,6.652,128.815955528846,8043.14884622893
"71","WWFSAR081",-37.657539,148.635234,"L/M",120.374176025391,1.758,109.117037259615,7478.18978803212
"72","WWFSAR082",-37.65173,148.626282,"L/M",77.1502685546875,2.174,109.117037259615,7501.62680104918
"73","WWFSAR083",-37.64563,148.619283,"L/M",57.857536315918,4.716,105.204026442308,7608.02238853376
"74","WWFSAR084",-37.636874,148.61738,"L/M",47.0061492919922,2.706,105.204026442308,7434.9266386484
"75","WWFSAR085",-37.628325,148.619363,"L/M",42.4553260803223,5.761,105.204026442308,8193.59318339355
"76","WWFSAR086",-37.621882,148.621037,"L/M",69.177864074707,3.915,105.315655048077,7781.42624573608
"77","WWFSAR087",-37.614239,148.621472,"L/M",71.6511383056641,5.414,105.315655048077,8159.71062378621
"78","WWFSAR088",-37.608183,148.618596,"L/M",103.299285888672,2.861,105.315655048077,8334.66489640828
"79","WWFSAR089",-37.609819,148.609898,"L/M",151.804931640625,5.841,105.315655048077,8323.19921825921
"80","WWFSAR090",-37.601803,148.607246,"L/M",137.326721191406,5.925,105.315655048077,8269.78116408378
"81","WWFSAR091",-37.525503,148.250457,"H",111.412445068359,3.027,95.87890625,7929.35503961286
"82","WWFSAR092",-37.530292,148.242784,"VH",204.202011108398,4.871,95.87890625,8327.10592396023
"83","WWFSAR093",-37.535408,148.233926,"VH",409.740264892578,5.572,95.87890625,8243.0978529753
"84","WWFSAR094",-37.546301,148.230176,"VH",417.805816650391,6.365,95.87890625,8449.00069736295
"85","WWFSAR095",-37.554441,148.22669,"VH",439.717926025391,6.572,95.87890625,8345.77538320949
"86","WWFSAR096",-37.562619,148.225742,"VH",393.056854248047,6.616,95.87890625,8290.63426423432
"87","WWFSAR097",-37.569985,148.222113,"VH",395.605407714844,6.508,96.0184044471154,8052.92158821674
"88","WWFSAR098",-37.575923,148.216784,"H",394.987060546875,6.585,97.0250901442308,8116.88440750767
"89","WWFSAR099",-37.580789,148.208005,"H",478.333129882812,1.829,97.0250901442308,8133.8596482175
"90","WWFSAR100",-37.583269,148.199203,"L/M",469.106567382812,3.066,97.0250901442308,8189.55909298843
"91","WWFSAR101",-37.770888,148.373115,"UB",24.0066776275635,4.084,93.7313701923077,8046.4837866611
"92","WWFSAR102",-37.772366,148.364393,"UB",6.17437267303467,6.893,93.7313701923077,8455.47523699998
"93","WWFSAR103",-37.772876,148.355,"UB",17.7050437927246,4.313,93.7313701923077,8487.51386309477
"94","WWFSAR104",-37.777515,148.346358,"UB",39.038158416748,5.436,92.5661808894231,7966.34765761382
"95","WWFSAR105",-37.774767,148.335667,"UB",22.9110813140869,5.69,93.7313701923077,7912.82897313734
"96","WWFSAR106",-37.783619,148.334707,"UB",18.411922454834,8.276,92.5661808894231,8134.96481236321
"97","WWFSAR107",-37.789012,148.324608,"UB",6.63798522949219,8.697,91.8314302884615,8443.38714732269
"98","WWFSAR108",-37.784476,148.317222,"UB",11.4918422698975,8.538,91.8314302884615,8334.45057000197
"99","WWFSAR109",-37.781273,148.307922,"UB",16.440746307373,8.294,91.8314302884615,8125.09326862495
"100","WWFSAR110",-37.78041,148.299544,"UB",21.3929901123047,6.452,91.8314302884615,8054.84479918103
